date,year,month,university_name,article_url
2021-01-22,2021,1,Aalborg University John Pedersen,https://sn.dk/Erhverv/Virksomheder-anerkender-at-truslen-fra-hackere-er-alvorlig-men-kun-faa-smaa-og-mellemstore-virksomheder-saetter-penge-af-til-it-sikkerhed/artikel/1403979
2021-10-13,2021,10,Aalborg University John Pedersen,https://sn.dk/Danmark/Udenlandske-hackere-snoed-sig-til-180000-skattekroner/artikel/1480398
2023-03-03,2023,3,Aalborg University John Pedersen,https://ekstrabladet.dk/nyheder/samfund/cybersikkerheden-sejler-det-er-meget-pinligt/9655713
2024-12-11,2024,12,Aalborg University John Pedersen,https://www.version2.dk/artikel/kommunerne-mangler-ressourcer-mod-cyberangreb-det-kan-faa-alvorlige-konsekvenser
2021-05-27,2021,5,Aalto University,https://www.atlanticcouncil.org/blogs/ukrainealert/russian-cyber-threat-us-can-learn-from-ukraine/
2021-09-29,2021,9,Aalto University,https://www.hbl.fi/artikel/expert-bara-en-tidsfraga-innan-ett-finlandskt-foretag-lamslas-av-en-cyberattack/
2024-01-07,2024,1,Aalto University,https://www.icenews.is/2023/02/21/finnish-cybersecurity-skills-project-cyber-citizen-recently-launched/
2020-01-20,2020,1,Aarhus University,https://www.computerworld.dk/art/250408/morgen-briefing-frankrig-facebook-skulle-aldrig-have-faaet-groent-lys-for-opkoebet-af-whatsapp-kmd-genvinder-kontrakt-med-statens-it-regeringens-raad-om-cybersikkerhed-moedes-for-foerste-gang-i-dag
2021-01-25,2021,1,Aarhus University,https://www.tv2nord.dk/aalborg/cyberkriminelle-angreb-aalborg-teater-under-live-forestilling
2023-09-22,2023,9,Aarhus University,https://www.theguardian.com/media/commentisfree/2023/sep/22/phone-hacking-scandal-just-a-mishap-in-the-australians-tribute-to-their-boss-rupert-murdochs-creative-mind
2023-10-04,2023,10,Aarhus University,https://www.computerworld.dk/art/284575/cybersikkerhedseksperter-med-boen-til-eu-lav-om-paa-central-del-af-ny-lovpakke
2024-04-19,2024,4,Aarhus University,https://www.dr.dk/nyheder/seneste/aarhus-kaemper-ny-kaserne-cybervaernepligtige
2024-05-07,2024,5,Aarhus University,https://www.dr.dk/nyheder/udland/hjemmesiden-kan-gaa-ned-og-tv-signalet-blive-forstyrret-truslen-cyberangreb-ved
2024-07-03,2024,7,Aarhus University,https://www.computerworld.dk/art/287847/find-klaphatten-frem-em-i-cybersikkerhed-kommer-til-danmark
2024-10-15,2024,10,Aarhus University,https://www.computerworld.dk/art/289004/robotstoevsugere-raabte-pludseligt-racistiske-bandeord-kinesisk-producent-af-robotstoevsugere-hacket
2020-02-17,2020,2,Abertay University,https://www.computerweekly.com/news/252478686/Ex-soldiers-to-become-ethical-hackers
2020-03-08,2020,3,Abertay University,https://www.scmagazineuk.com/international-womens-day-sexual-harassment-discrimination-dark-side-cyber-security-conferences/article/1676266
2020-05-29,2020,5,Abertay University,https://www.eveningtelegraph.co.uk/2020/05/29/cybercriminals-playing-on-heightened-sense-of-fear-during-pandemic-report-warns/
2020-07-24,2020,7,Abertay University,https://www.thecourier.co.uk/fp/business/business-news/1465673/ive-always-been-fascinated-by-the-intersection-of-technology-and-crime-key-appointment-for-abertay-uni-ethical-hacking-programme/
2020-09-10,2020,9,Abertay University,https://www.eveningtelegraph.co.uk/fp/abertay-graduate-tells-of-her-journey-to-becoming-a-cybersecurity-expert-following-childhood-tragedy/
2020-11-05,2020,11,Abertay University,https://www.infosecurity-magazine.com:443/news/over-70000-personal-files-on-100/
2020-12-15,2020,12,Abertay University,https://www.miragenews.com/lancaster-university-recognised-for-excellence-in-cyber-security-education/
2021-01-07,2021,1,Abertay University,https://www.eveningtelegraph.co.uk/fp/hundreds-of-thousands-spent-cyber-security-tayside/
2021-02-09,2021,2,Abertay University,https://www.heraldscotland.com/news/19075283.safer-internet-day-2021-90-cybercrimes-kids-every-day-scotland/
2021-02-26,2021,2,Abertay University,https://www.infosecurity-magazine.com:443/news/winners-cyber-community-awards/
2021-03-22,2021,3,Abertay University,https://techxplore.com/news/2021-03-covid-related-cyberattacks-leveraged.html
2021-06-30,2021,6,Abertay University,https://www.computerweekly.com/opinion/Ethical-hacking-what-why-and-overcoming-concerns
2021-09-16,2021,9,Abertay University,https://www.thecourier.co.uk/fp/business-environment/business/2534951/first-tenant-at-abertay-universitys-cyberquarter-to-create-30-dundee-jobs/
2021-10-16,2021,10,Abertay University,https://www.thecourier.co.uk/fp/news/dundee/2647611/feature-how-dundees-ethical-hackers-are-helping-businesses-combat-the-growing-menace-of-cyber-crime/
2022-02-23,2022,2,Abertay University,https://www.thecourier.co.uk/fp/business-environment/business/3039327/opinion-now-is-time-to-cement-dundees-reputation-as-leading-cyber-hub/
2022-03-18,2022,3,Abertay University,https://www.dailyrecord.co.uk/news/scottish-news/new-18million-home-scotlands-cyber-26501199
2022-06-14,2022,6,Abertay University,https://www.pressandjournal.co.uk/news/scotland/4415850/new-cybersecurity-hub-creates-30-jobs-in-dundee/
2022-10-09,2022,10,Abertay University,https://www.thenational.scot/news/23033720.scottish-cybersecurity-firm-aims-go-strength-strength/
2023-04-12,2023,4,Abertay University,https://www.finanznachrichten.de/nachrichten-2023-04/58792891-bae-systems-the-national-cyber-awards-returns-to-london-this-september-004.htm
2023-06-05,2023,6,Abertay University,https://www.thecourier.co.uk/fp/education/higher-education/4436641/abertay-university-ethical-hacking-graduates/
2023-11-27,2023,11,Abertay University,https://www.dunfermlinepress.com/news/23950458.fife-college-students-cyber-security-work-recognised/
2023-12-10,2023,12,Abertay University,https://www.thecourier.co.uk/fp/news/dundee/4833983/abertay-university-ethical-hacking-course-colin-mclean-retires/
2024-11-12,2024,11,Abertay University,https://www.ox.ac.uk/news/2024-11-12-new-ukri-funded-network-bolster-uk-s-cyber-security-research-ecosystem
2024-12-12,2024,12,Abertay University,https://techxplore.com/news/2024-12-cybersecurity-insider-threats-fall-categories.html
2020-02-18,2020,2,Abertay University In Dundee,https://www.scmagazineuk.com/cyber-security-training-scheme-scottish-veterans-launched/article/1674352
2020-09-10,2020,9,Abertay University In Dundee,https://www.eveningtelegraph.co.uk/fp/abertay-graduate-tells-of-her-journey-to-becoming-a-cybersecurity-expert-following-childhood-tragedy/
2021-02-28,2021,2,Abertay University In Dundee,https://www.thenational.scot/news/19123964.cyber-sector-urged-act-address-shortage-skills-uk/
2023-10-30,2023,10,Abertay University In Dundee,https://www.heraldscotland.com/news/23887422.scotland-education-cybersecurity-book-aimed-youngsters-launched/
2024-06-26,2024,6,Abertay University In Dundee,https://www.in-cumbria.com/news/24410191.eco-groups-ethical-hacker-protects-businesses-cyber-crime/
2020-02-26,2020,2,Able College,https://datanews.knack.be/ict/nieuws/howest-internationaliseert-opleiding-in-cybersecurity/article-news-1569547.html
2020-09-30,2020,9,Able College,https://tweakers.net/nieuws/172788/belgische-ap-hogeschool-blijft-woensdag-dicht-na-cyberaanval.html
2021-02-17,2021,2,Able College,https://www.nu.nl/tech/6116969/hva-en-uva-melden-cyberaanval-onderwijs-gaat-gewoon-door.html
2021-03-01,2021,3,Able College,https://www.nu.nl/tech/6119307/hackers-verkopen-gegevens-van-studenten-na-aanval-op-inholland.html
