the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
Aalto University,Aalto University,3,3458595,63981,15.056373284335963,11.06635707278361,FI,100,High (1M-5M)
Aarhus University,Aarhus University; University Of Aarhus,11,12716538,223932,16.358413987657755,12.319102178952855,DK,95,Elite (5M+)
Abertay University,Abertay University; Abertay University In Dundee,29,167994,5046,12.03168949603774,8.526549286340263,GB,90,Medium (100K-1M)
Adelphi University,Adelphi University,3,217389,8048,12.289448254451225,8.993303139093733,US,100,Medium (100K-1M)
Administrative Staff College of India,F College; Staff College,19,13657,636,9.522080709521036,6.456769655572163,IN,90,Low (<100K)
Allen University,Allen University,3,4941,231,8.505525386548555,5.44673737166631,US,100,Low (<100K)
American University,American University; American University School Of Communication; University American,51,1031404,30899,13.846432508366965,10.338511462885837,US,90,High (1M-5M)
American University of Afghanistan,American University Of Afghanistan,3,3881,327,8.264105763728956,5.793013608384144,AF,100,Low (<100K)
American University of Phnom Penh,American University Of Phnom Penh,4,305,115,5.723585101952381,4.7535901911063645,KH,100,Low (<100K)
American University of Sharjah,American University Of Sharjah,20,408706,11387,12.920753796883062,9.340315448397927,AE,100,Medium (100K-1M)
Amherst College,Amherst College,3,693712,15283,13.449813609287176,9.63456180856679,US,100,Medium (100K-1M)
Amity University,Amity University; Amrita University,12,628596,24356,13.351245630823875,10.100574561530555,IN,91,Medium (100K-1M)
"Anna University, Chennai",Anna University,4,1486724,41849,14.212086272226522,10.64184707591762,IN,90,High (1M-5M)
Arcadia University,Arcadia University,3,71563,2272,11.178347433209714,7.728855823852543,US,100,Low (<100K)
Ariel University,Ariel University,3,352628,15286,12.773171791735177,9.634758073001034,IL,100,Medium (100K-1M)
Ashesi University,Ashesi University,3,3382,985,8.12651816878071,6.893656354602635,GH,100,Low (<100K)
Ashoka University,Ashoka University,3,23784,3176,10.076810408866384,8.063692634269517,IN,100,Low (<100K)
Aston University,Aston University; Aston University Cyber Security Innovation,9,1778237,36959,14.391133544365484,10.51759152575562,GB,90,High (1M-5M)
Ateneo de Manila University,Ateneo De Manila University,5,103165,6008,11.54409462038226,8.701013624333928,PH,100,Medium (100K-1M)
Athabasca University,Athabasca University,3,188782,6378,12.1483534862666,8.760766624241956,CA,100,Medium (100K-1M)
Auburn University,Auburn University; Auburn University Mccrary Institute; Auburn University Mccrary Institute For Cyber; Critical Infrastructure Security At Auburn University; Mccrary Institute At Auburn University,71,3916216,81380,15.180636694784692,11.306897109511642,US,90,High (1M-5M)
Auburn University at Montgomery,Auburn University At Montgomery,3,78547,3383,11.271465181870122,8.126813720726114,US,100,Low (<100K)
Augusta University,Augusta University; Augusta University School Of Computer,35,3688016,44887,15.120599473192469,10.711925777430809,US,90,High (1M-5M)
Austin Peay State University,Austin Peay State University,4,69093,2743,11.143223175305586,7.917171988845776,US,100,Low (<100K)
Babcock University,Babcock University,4,67262,7545,11.11636558733258,8.928772900524256,NG,100,Low (<100K)
Baker College,Baker College,3,3611,261,8.192016914536875,5.568344503761097,US,100,Low (<100K)
Bangladesh University of Engineering and Technology,Bangladesh University Of Engineering; University Of Engineering,8,508321,18631,13.138870384025031,9.832635811564176,BD,90,Medium (100K-1M)
Bar-Ilan University,Ilan University,9,3554015,59430,15.083588789656211,10.992571254737737,IL,95,High (1M-5M)
Bard College,Bard College,4,114395,3973,11.64742139228158,8.287528423111763,US,100,Medium (100K-1M)
Barnard College,Barnard College,3,293171,8235,12.5885147464808,9.01627006814768,US,100,Medium (100K-1M)
Baton Rouge Community College,Baton Rouge Community College,6,893,60,6.795705775173514,4.110873864173311,US,100,Low (<100K)
Baylor College of Medicine,Baylor College Of Medicine,7,27349080,164812,17.1241934848052,12.012566776841515,US,100,Elite (5M+)
Baylor University,Baylor University,7,2588074,40588,14.766424914090283,10.611252372919454,US,100,High (1M-5M)
Bellevue University,Bellevue University,14,59202,1728,10.988727495263804,7.455298485683291,US,100,Low (<100K)
Belmont University,Belmont University,3,35276,2460,10.470986472491523,7.808323050391055,US,100,Low (<100K)
Ben-Gurion University of the Negev,Ben-Gurion University; Ben-Gurion University Of The Negev; Israel Ben-Gurion University Of The Negev,55,5214074,95465,15.466872257721958,11.46652544213591,IL,90,Elite (5M+)
Benedict College,Benedict College,8,21120,858,9.95802308518414,6.755768921984255,US,100,Low (<100K)
Bennett University,Bennett University,4,81737,5797,11.311274288994117,8.6652683094816,IN,100,Low (<100K)
Bentley University,Bentley University,13,240421,7202,12.39015099159912,8.882252884889363,US,100,Medium (100K-1M)
Bermuda College,Bermuda College,8,29170,762,10.280930344070526,6.637258031284457,BM,100,Low (<100K)
Binghamton University,Binghamton University,6,1896006,38411,14.455260653773411,10.556125189757864,US,100,High (1M-5M)
Blackburn College,Blackburn College,6,51846,2243,10.856052352774508,7.716015266642587,US,100,Low (<100K)
Bond University,Bond University,3,724321,15215,13.492991323876488,9.630102784785173,AU,100,Medium (100K-1M)
Bossier Parish Community College,Bossier Parish Community College,3,996,82,6.904750769961838,4.418840607796598,US,100,Low (<100K)
Boston College,Boston College,25,3564650,47093,15.086576710825202,10.759900883354868,US,100,High (1M-5M)
Boston University,Boston University,37,24522026,198465,17.01508233282598,12.198373079803734,US,100,Elite (5M+)
Bournemouth University,Bournemouth University,11,827306,21037,13.625931126401998,9.95408560529922,GB,100,Medium (100K-1M)
Bowling Green State University,Bowling Green State University,3,1149638,27582,13.954958538014942,10.224954919906036,US,100,High (1M-5M)
Brandon University,Brandon University,4,143927,7516,11.877068453516456,8.924922401177469,CA,100,Medium (100K-1M)
Brock University,Brock University,3,921370,23535,13.733618057144492,10.06628644284122,CA,100,Medium (100K-1M)
Brown University,Bronze University; Brown University,21,14495620,137840,16.48935716177962,11.833856125963656,US,91,Elite (5M+)
Brunel University of London,Brunel University; University Of London,61,3261942,52905,14.997833588068058,10.876272032964748,GB,90,High (1M-5M)
Buncombe County Early College,Early College,4,132,7,4.890349128221754,2.079441541679836,US,90,Low (<100K)
Butler County Community College,Butler County Community College,17,2188,557,7.691200097522863,6.324358962381311,US,100,Low (<100K)
COMSATS University Islamabad,University Islamabad,3,2370714,48039,14.678702155376424,10.77978927619392,PK,95,High (1M-5M)
California Institute of Technology,California Institute Of Technology; California Institute Of Technology Caltech,15,36506557,243394,17.413002473646653,12.402440917007397,US,95,Elite (5M+)
California Polytechnic State University,California Polytechnic State University,6,592754,20844,13.29253643915146,9.944869390314896,US,100,Medium (100K-1M)
California State Polytechnic University,California State Polytechnic University,3,267297,12233,12.496119419869316,9.411974239802513,US,100,Medium (100K-1M)
Cape Cod Community College,Cape Cod Community College,3,598,69,6.395261598115449,4.248495242049359,US,100,Low (<100K)
Capella University,Capella University,4,23033,1862,10.044726664228852,7.529943370601589,US,100,Low (<100K)
Cardiff University,Cardiff University; University Of Cardiff,26,13255949,126134,16.399957066204536,11.745108040935108,GB,95,Elite (5M+)
Carleton University,Carleton University,18,4455281,77491,15.309600916547009,11.257929984206836,CA,100,High (1M-5M)
Carnegie Mellon University,Coordination Center At Carnegie Mellon University; Insider Threat Center At Carnegie Mellon University; University Carnegie; University Carnegie Mellon,16,16476758,157911,16.617461400483613,11.969793194822824,US,90,Elite (5M+)
